SW Version,2019.2.1
GT Type,UltraScale GTH
Date and Time Started,2020-Aug-05 16:22:57
Date and Time Ended,2020-Aug-05 16:22:59
Scan Name,Scan 164
Link Settings,
Reset RX After Applying Settings,false
Open Area,0
Horizontal Opening,0
Horizontal Percentage,0.00
Vertical Opening,0
Vertical Percentage,0.00
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0xC006 SVN: 16357
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.439641,0.489419,0.47127,0.434546,0.444316,0.476785,0.453237,0.455286,0.493014
112,0.437339,0.458709,0.441652,0.449643,0.477523,0.495555,0.464858,0.43978,0.472741
104,0.425779,0.48166,0.450757,0.445839,0.459905,0.465033,0.440793,0.430958,0.480159
96,0.417505,0.468153,0.445052,0.463016,0.47249,0.493414,0.445224,0.418844,0.475549
88,0.416293,0.440912,0.459147,0.443304,0.461688,0.480415,0.456775,0.479163,0.472091
80,0.446145,0.437027,0.435359,0.500633,0.451622,0.48229,0.458275,0.497351,0.430449
72,0.424452,0.457876,0.440418,0.445695,0.481963,0.472091,0.488612,0.474259,0.469073
64,0.461138,0.457343,0.433734,0.437483,0.466224,0.450385,0.461392,0.460436,0.452933
56,0.449094,0.450864,0.441134,0.428538,0.49995,0.471726,0.473476,0.492206,0.441176
48,0.424574,0.463065,0.444974,0.430519,0.50434,0.439204,0.465389,0.467292,0.46042
40,0.460075,0.454763,0.451568,0.416147,0.496338,0.444395,0.458918,0.441933,0.423038
32,0.428673,0.441712,0.436432,0.413832,0.491846,0.452244,0.436627,0.430919,0.392447
24,0.433178,0.432412,0.418228,0.383667,0.493947,0.439773,0.37843,0.40563,0.36035
16,0.44258,0.442277,0.414912,0.390313,0.48854,0.373724,0.301105,0.320376,0.264139
8,0.464803,0.44493,0.397847,0.373021,0.467136,0.336362,0.23353,0.192017,0.138453
0,0.489105,0.455826,0.408247,0.366367,0.432101,0.29827,0.199009,0.126654,0.0656814
-8,0.505074,0.467973,0.409132,0.386835,0.437778,0.312213,0.226664,0.162668,0.142237
-16,0.521491,0.46927,0.419735,0.405908,0.455902,0.343667,0.29552,0.253829,0.259244
-24,0.539566,0.486321,0.471556,0.42862,0.470642,0.392118,0.384744,0.338323,0.374692
-32,0.516351,0.504594,0.484708,0.462285,0.498429,0.459026,0.475178,0.446241,0.453893
-40,0.527993,0.50503,0.521853,0.479644,0.519168,0.476488,0.502574,0.481711,0.497382
-48,0.537269,0.540446,0.533428,0.495283,0.54996,0.54567,0.544491,0.477651,0.517368
-56,0.51175,0.518338,0.555982,0.517404,0.553329,0.515636,0.497352,0.492509,0.532602
-64,0.526097,0.536935,0.519442,0.503886,0.566252,0.531358,0.533099,0.500148,0.536329
-72,0.504331,0.54076,0.515382,0.493672,0.553788,0.534705,0.562869,0.499456,0.549883
-80,0.526068,0.564305,0.507976,0.503117,0.559786,0.538468,0.557875,0.516189,0.575699
-88,0.519071,0.568064,0.542691,0.497073,0.570969,0.520554,0.581915,0.509305,0.572197
-96,0.55244,0.557125,0.524784,0.511517,0.566134,0.530475,0.571388,0.500164,0.554661
-104,0.53534,0.543532,0.510319,0.499772,0.582273,0.52361,0.543332,0.528089,0.555587
-112,0.530868,0.528601,0.566132,0.501403,0.549055,0.516634,0.521813,0.489996,0.544393
-120,0.531457,0.55571,0.546429,0.503169,0.537662,0.533544,0.522283,0.504236,0.580776
Scan End
